,continent_name,normalized_compound_value,model_name
0,Africa,-0.02862470406315535,dalle2
1,Asia,0.12392386592941883,dalle2
2,Europe,0.05787655162581453,dalle2
3,North America,-0.005861832687136232,dalle2
4,Oceania,-0.07594536933272854,dalle2
5,South America,0.28355573414730056,dalle2
0,Africa,0.051852235732864176,sd21
1,Asia,0.20505990480970054,sd21
2,Europe,0.1452555119514068,sd21
3,North America,0.04482651205643777,sd21
4,Oceania,0.153178047979396,sd21
5,South America,0.1683801711593316,sd21
