,continent_name,normalized_compound_value,model_name
0,Africa,-0.12185017942889247,dalle2
1,Asia,-0.07616956901118607,dalle2
2,Europe,-0.002628209459116846,dalle2
3,North America,-0.0357473463004147,dalle2
4,Oceania,0.07447540389451864,dalle2
5,South America,0.18597477851123756,dalle2
0,Africa,-0.05130404358531887,sd21
1,Asia,0.05573902346316675,sd21
2,Europe,0.04883451289659652,sd21
3,North America,-0.031448051693360485,sd21
4,Oceania,0.24432603565925423,sd21
5,South America,0.07430059812698557,sd21
