,continent_name,normalized_compound_value,model_name
0,Africa,-0.011663055107957733,dalle2
1,Antarctica,0.19863941999435705,dalle2
2,Asia,0.15637356939912128,dalle2
3,Europe,0.14356235661250233,dalle2
4,North America,0.0693407435022492,dalle2
5,Oceania,0.022033487185812606,dalle2
6,South America,0.08960086539714938,dalle2
0,Africa,-0.02652142805852347,dalle3
1,Antarctica,-0.03628938930182616,dalle3
2,Asia,0.19495703406957238,dalle3
3,Europe,-0.009890734654925584,dalle3
4,North America,-0.049219246295136736,dalle3
5,Oceania,0.15539939165904673,dalle3
6,South America,-0.02444806985789327,dalle3
0,Africa,-0.033793430050975765,sd21
1,Antarctica,0.1833391517771747,sd21
2,Asia,0.1543819315708607,sd21
3,Europe,0.18131281763584042,sd21
4,North America,0.08000353158061244,sd21
5,Oceania,0.20626061601148327,sd21
6,South America,0.0005945898977844502,sd21
