,continent_name,normalized_compound_value,model_name
0,Africa,0.15541167157968924,dalle2
1,Antarctica,0.07937674849477953,dalle2
2,Asia,0.20131825265449674,dalle2
3,Europe,0.10321503399468054,dalle2
4,North America,0.18714602115166543,dalle2
5,Oceania,0.20097342312863734,dalle2
6,South America,0.19604878192235237,dalle2
0,Africa,0.25521458366811045,dalle3
1,Antarctica,0.08564156787073783,dalle3
2,Asia,0.36888325182244386,dalle3
3,Europe,0.19054266073940543,dalle3
4,North America,0.168368225648993,dalle3
5,Oceania,0.29646363291836825,dalle3
6,South America,0.1906478356945203,dalle3
0,Africa,0.11939709137931132,sd21
1,Antarctica,0.1476968237852619,sd21
2,Asia,0.29612012702193274,sd21
3,Europe,0.2272684357612396,sd21
4,North America,0.1915530473910635,sd21
5,Oceania,0.29497246119022946,sd21
6,South America,0.09017955259402159,sd21
